,CODDEPTO,DEPARTAMENTO,AÑO,Hectáreas cultivadas,Cobertura de acueducto,Cobertura de alcantarillado
281,95,GUAVIARE,2010,5701.0,47.8575,46.9825
282,95,GUAVIARE,2011,6839.0,47.8925,46.99
283,95,GUAVIARE,2012,3850.0,57.8875,53.7975
284,95,GUAVIARE,2013,4725.0,60.15,54.455
285,95,GUAVIARE,2014,5658.0,51.75,45.43
286,95,GUAVIARE,2015,5423.12,62.6475,59.462500000000006
287,95,GUAVIARE,2016,6837.99,55.795,57.167500000000004
288,95,GUAVIARE,2017,4922.67,71.64,69.815
289,95,GUAVIARE,2018,4098.12,83.79,75.67333333333333
290,95,GUAVIARE,2019,3118.85,70.58500000000001,64.4875
291,95,GUAVIARE,2020,3226.65,70.9625,64.865
292,95,GUAVIARE,2021,4435.219999999999,74.5075,67.8725
293,97,VAUPÉS,2008,168.0,65.965,60.855000000000004
294,97,VAUPÉS,2009,64.0,66.16,61.57
295,97,VAUPÉS,2010,498.0,37.31666666666666,33.19
296,97,VAUPÉS,2011,216.0,36.916666666666664,32.79666666666667
297,97,VAUPÉS,2012,231.0,42.36666666666667,35.736666666666665
298,97,VAUPÉS,2013,179.0,39.38,34.07
299,97,VAUPÉS,2014,108.0,65.35000000000001,60.406666666666666
300,97,VAUPÉS,2015,32.64,79.2,74.42
301,97,VAUPÉS,2016,96.66,76.96333333333334,76.20333333333333
302,97,VAUPÉS,2017,105.46,77.05,76.29
303,97,VAUPÉS,2018,64.74,90.69,89.98
304,97,VAUPÉS,2019,25.95,98.03333333333335,98.03333333333335
305,97,VAUPÉS,2020,39.33,94.90666666666668,94.67666666666666
306,97,VAUPÉS,2021,28.81,95.01666666666667,94.79666666666667
307,99,VICHADA,2008,3174.0,45.85999999999999,8.526666666666667
308,99,VICHADA,2009,3140.0,46.20333333333334,41.516666666666666
309,99,VICHADA,2010,2743.0,46.20333333333334,41.516666666666666
310,99,VICHADA,2011,2264.0,46.20333333333334,41.516666666666666
311,99,VICHADA,2012,1242.0,29.25,8.17
312,99,VICHADA,2013,713.0,24.055,17.025
313,99,VICHADA,2014,511.0,12.935,1.98
314,99,VICHADA,2015,683.14,25.195,2.12
315,99,VICHADA,2016,699.19,32.74,2.1733333333333333
316,99,VICHADA,2017,652.72,35.62,2.0866666666666664
317,99,VICHADA,2018,549.97,60.949999999999996,2.766666666666667
318,99,VICHADA,2019,245.3,47.10666666666666,3.5833333333333335
319,99,VICHADA,2020,120.98,51.90333333333333,3.33
320,99,VICHADA,2021,310.83,20.5,3.33
