,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Hectáreas asperjadas
377,5,ANTIOQUIA,5031,AMALFI,1995,0.0
378,5,ANTIOQUIA,5045,APARTADÓ,1995,0.0
379,5,ANTIOQUIA,5107,BRICEÑO,1995,0.0
380,5,ANTIOQUIA,5604,REMEDIOS,1995,0.0
381,5,ANTIOQUIA,5649,SAN CARLOS,1995,0.0
382,5,ANTIOQUIA,5670,SAN ROQUE,1995,0.0
383,13,BOLÍVAR,13006,ACHÍ,1995,0.0
384,13,BOLÍVAR,13458,MONTECRISTO,1995,0.0
385,13,BOLÍVAR,13654,SAN JACINTO,1995,0.0
386,13,BOLÍVAR,13810,TIQUISIO,1995,0.0
387,15,BOYACÁ,15442,MARIPÍ,1995,0.0
388,17,CALDAS,17495,NORCASIA,1995,0.0
389,17,CALDAS,17541,PENSILVANIA,1995,0.0
390,18,CAQUETÁ,18479,MORELIA,1995,0.0
391,19,CAUCA,19318,GUAPÍ,1995,0.0
392,19,CAUCA,19418,LÓPEZ DE MICAY,1995,0.0
393,19,CAUCA,19473,MORALES,1995,0.0
394,19,CAUCA,19622,ROSAS,1995,0.0
395,19,CAUCA,19809,TIMBIQUÍ,1995,0.0
396,23,CÓRDOBA,23574,PUERTO ESCONDIDO,1995,0.0
397,23,CÓRDOBA,23807,TIERRALTA,1995,0.0
398,27,CHOCÓ,27025,ALTO BAUDÓ,1995,0.0
399,27,CHOCÓ,27077,BAJO BAUDÓ,1995,0.0
400,27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO,1995,0.0
401,27,CHOCÓ,27361,ISTMINA,1995,0.0
402,27,CHOCÓ,27430,MEDIO BAUDÓ,1995,0.0
403,27,CHOCÓ,27491,NÓVITA,1995,0.0
404,27,CHOCÓ,27600,RÍO QUITO,1995,0.0
405,50,META,50683,SAN JUAN DE ARAMA,1995,0.0
406,52,NARIÑO,52083,BELÉN,1995,0.0
407,52,NARIÑO,52110,BUESACO,1995,0.0
408,52,NARIÑO,52227,CUMBAL,1995,0.0
409,52,NARIÑO,52233,CUMBITARA,1995,0.0
410,52,NARIÑO,52260,EL TAMBO,1995,0.0
411,52,NARIÑO,52385,LA LLANADA,1995,0.0
412,52,NARIÑO,52418,LOS ANDES,1995,0.0
413,52,NARIÑO,52473,MOSQUERA,1995,0.0
414,52,NARIÑO,52540,POLICARPA,1995,0.0
415,52,NARIÑO,52678,SAMANIEGO,1995,0.0
416,52,NARIÑO,52694,SAN PEDRO DE CARTAGO,1995,0.0
417,52,NARIÑO,52696,SANTA BÁRBARA,1995,0.0
418,52,NARIÑO,52786,TAMINANGO,1995,0.0
419,54,NORTE DE SANTANDER,54128,CÁCHIRA,1995,0.0
420,54,NORTE DE SANTANDER,54385,LA ESPERANZA,1995,0.0
421,68,SANTANDER,68255,EL PLAYÓN,1995,0.0
422,68,SANTANDER,68377,LA BELLEZA,1995,0.0
423,68,SANTANDER,68573,PUERTO PARRA,1995,0.0
424,68,SANTANDER,68745,SIMACOTA,1995,0.0
425,76,VALLE DEL CAUCA,76109,BUENAVENTURA,1995,0.0
426,5,ANTIOQUIA,5038,ANGOSTURA,1995,0.0
427,5,ANTIOQUIA,5125,CAICEDO,1995,0.0
428,5,ANTIOQUIA,5134,CAMPAMENTO,1995,0.0
429,5,ANTIOQUIA,5172,CHIGORODÓ,1995,0.0
430,5,ANTIOQUIA,5475,MURINDÓ,1995,0.0
431,5,ANTIOQUIA,5480,MUTATÁ,1995,0.0
432,5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,1995,0.0
433,5,ANTIOQUIA,5837,TURBO,1995,0.0
