,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría,AÑO,Hectáreas erradicadas
256,17,CALDAS,17433,MANZANARES,Territorio sin intervenir en los últimos 5 años,1998,0.0
257,17,CALDAS,17495,NORCASIA,Territorio sin intervenir en los últimos 5 años,1998,0.0
258,17,CALDAS,17614,RIOSUCIO,Territorio sin intervenir en los últimos 5 años,1998,0.0
259,17,CALDAS,17665,SAN JOSÉ,Territorio sin intervenir en los últimos 5 años,1998,0.0
260,17,CALDAS,17867,VICTORIA,Territorio sin intervenir en los últimos 5 años,1998,0.0
261,18,CAQUETÁ,18029,ALBANIA,Territorio con erradicacion intermitente,1998,0.0
262,18,CAQUETÁ,18205,CURILLO,Territorio con erradicacion intermitente,1998,0.0
263,18,CAQUETÁ,18247,EL DONCELLO,Territorio con erradicacion intermitente,1998,0.0
264,18,CAQUETÁ,18256,EL PAUJÍL,Territorio con erradicacion intermitente,1998,0.0
265,18,CAQUETÁ,18756,SOLANO,Territorio con erradicacion intermitente,1998,0.0
266,18,CAQUETÁ,18860,VALPARAÍSO,Territorio con erradicacion intermitente,1998,0.0
267,19,CAUCA,19001,POPAYÁN,Territorio sin intervenir en los últimos 5 años,1998,0.0
268,19,CAUCA,19022,ALMAGUER,Territorio con erradicacion intermitente,1998,0.0
269,19,CAUCA,19110,BUENOS AIRES,Territorio con erradicacion intermitente,1998,0.0
270,19,CAUCA,19130,CAJIBÍO,Territorio con erradicacion intermitente,1998,0.0
271,19,CAUCA,19137,CALDONO,Territorio con erradicacion intermitente,1998,0.0
272,19,CAUCA,19290,FLORENCIA,Territorio con erradicacion intermitente,1998,0.0
273,19,CAUCA,19318,GUAPÍ,Territorio con erradicacion intermitente,1998,0.0
274,19,CAUCA,19392,LA SIERRA,Territorio sin intervenir en los últimos 5 años,1998,0.0
275,19,CAUCA,19418,LÓPEZ DE MICAY,Territorio con erradicacion intermitente,1998,0.0
276,19,CAUCA,19473,MORALES,Territorio con erradicacion intermitente,1998,0.0
277,19,CAUCA,19513,PADILLA,Territorio sin intervenir en los últimos 5 años,1998,0.0
278,19,CAUCA,19548,PIENDAMÓ,Territorio con erradicacion intermitente,1998,0.0
279,19,CAUCA,19622,ROSAS,Territorio con erradicacion intermitente,1998,0.0
280,19,CAUCA,19693,SAN SEBASTIÁN,Territorio con erradicacion intermitente,1998,0.0
281,19,CAUCA,19701,SANTA ROSA,Territorio con erradicacion intermitente,1998,0.0
282,19,CAUCA,19743,SILVIA,Territorio sin intervenir en los últimos 5 años,1998,0.0
