,CODDEPTO,DEPARTAMENTO,MUNICIPIO,Categoría,AÑO,Hectáreas cultivadas,Ingreso tributario
631,5,ANTIOQUIA,NECOCLÍ,Cultivo abandonado,2003,78.0,9133.53
632,5,ANTIOQUIA,PUERTO BERRÍO,Cultivo abandonado,2003,0.0,11325.28
633,5,ANTIOQUIA,PUERTO NARE,Cultivo abandonado,2003,0.0,14798.29
634,5,ANTIOQUIA,PUERTO TRIUNFO,Cultivo abandonado,2003,0.0,7842.77
635,5,ANTIOQUIA,REMEDIOS,Cultivo permanente,2003,331.0,12085.01
636,5,ANTIOQUIA,SABANALARGA,Cultivo abandonado,2003,0.0,3031.67
637,5,ANTIOQUIA,SAN CARLOS,Cultivo intermintente,2003,0.0,11622.37
638,5,ANTIOQUIA,SAN FRANCISCO,Cultivo permanente,2003,17.0,3935.33
639,5,ANTIOQUIA,SAN LUIS,Cultivo permanente,2003,18.0,5036.11
640,5,ANTIOQUIA,SAN PEDRO DE URABÁ,Cultivo intermintente,2003,8.0,9158.81
641,5,ANTIOQUIA,SAN RAFAEL,Cultivo abandonado,2003,0.0,7043.97
642,5,ANTIOQUIA,SAN ROQUE,Cultivo abandonado,2003,0.0,4911.94
643,5,ANTIOQUIA,SANTA ROSA DE OSOS,Cultivo abandonado,2003,0.0,9492.1
644,5,ANTIOQUIA,SEGOVIA,Cultivo permanente,2003,58.0,13954.04
645,5,ANTIOQUIA,SONSÓN,Cultivo intermintente,2003,55.0,9613.09
646,5,ANTIOQUIA,TARAZÁ,Cultivo permanente,2003,537.0,11704.32
647,5,ANTIOQUIA,TOLEDO,Cultivo emergente,2003,0.0,3468.08
648,5,ANTIOQUIA,TURBO,Cultivo permanente,2003,151.0,37603.95
649,5,ANTIOQUIA,URAMITA,Cultivo abandonado,2003,0.0,3561.7
650,5,ANTIOQUIA,URRAO,Cultivo abandonado,2003,0.0,10403.46
651,5,ANTIOQUIA,VALDIVIA,Cultivo permanente,2003,157.0,4399.81
652,5,ANTIOQUIA,VEGACHÍ,Cultivo intermintente,2003,75.0,5753.25
653,5,ANTIOQUIA,VIGÍA DEL FUERTE,Cultivo intermintente,2003,0.0,3405.71
654,5,ANTIOQUIA,YALÍ,Cultivo intermintente,2003,46.0,3464.05
655,5,ANTIOQUIA,YARUMAL,Cultivo permanente,2003,0.0,9691.55
656,5,ANTIOQUIA,YOLOMBÓ,Cultivo intermintente,2003,17.0,4976.05
657,5,ANTIOQUIA,YONDÓ ,Cultivo intermintente,2003,85.0,14536.22
658,5,ANTIOQUIA,ZARAGOZA,Cultivo permanente,2003,505.0,8156.6
659,81,ARAUCA,ARAUQUITA,Cultivo intermintente,2003,293.84,15328.45
660,81,ARAUCA,FORTUL,Cultivo abandonado,2003,71.31,4661.64
661,81,ARAUCA,PUERTO RONDÓN,Cultivo abandonado,2003,0.0,3105.9
662,81,ARAUCA,SARAVENA,Cultivo abandonado,2003,76.51,9597.58
663,81,ARAUCA,TAME,Cultivo abandonado,2003,96.38,8458.04
664,13,BOLÍVAR,ACHÍ,Cultivo permanente,2003,0.0,5185.32
665,13,BOLÍVAR,ALTOS DEL ROSARIO,Cultivo intermintente,2003,37.27,3014.61
666,13,BOLÍVAR,ARENAL,Cultivo permanente,2003,194.0,3281.77
667,13,BOLÍVAR,BARRANCO DE LOBA,Cultivo intermintente,2003,51.33,3650.02
668,13,BOLÍVAR,CANTAGALLO,Cultivo permanente,2003,511.0,8416.28
669,13,BOLÍVAR,EL PEÑÓN,Cultivo abandonado,2003,0.0,2927.13
670,13,BOLÍVAR,MONTECRISTO,Cultivo permanente,2003,231.0,2981.88
671,13,BOLÍVAR,MORALES,Cultivo permanente,2003,145.0,6499.36
672,13,BOLÍVAR,NOROSI,Cultivo permanente,2003,0.0,
673,13,BOLÍVAR,RIOVIEJO,Cultivo permanente,2003,288.0,7145.18
674,13,BOLÍVAR,SAN JACINTO DEL CAUCA,Cultivo permanente,2003,23.0,4038.63
675,13,BOLÍVAR,SAN MARTÍN DE LOBA,Cultivo intermintente,2003,67.46,3410.51
676,13,BOLÍVAR,SAN PABLO,Cultivo permanente,2003,1105.0,6937.88
677,13,BOLÍVAR,SANTA ROSA DEL SUR,Cultivo permanente,2003,1336.0,8500.41
678,13,BOLÍVAR,SIMITÍ,Cultivo permanente,2003,410.0,6104.18
679,13,BOLÍVAR,TIQUISIO ,Cultivo permanente,2003,72.0,4813.1
680,15,BOYACÁ,COPER,Cultivo abandonado,2003,3.0,2635.72
681,15,BOYACÁ,CUBARÁ,Cultivo abandonado,2003,8.04,3772.77
682,15,BOYACÁ,LA VICTORIA,Cultivo abandonado,2003,0.0,1709.0
683,15,BOYACÁ,MARIPÍ,Cultivo abandonado,2003,25.0,4773.45
684,15,BOYACÁ,MUZO,Cultivo abandonado,2003,39.0,3634.89
685,15,BOYACÁ,OTANCHE,Cultivo intermintente,2003,140.67,5036.59
686,15,BOYACÁ,PAUNA,Cultivo abandonado,2003,22.0,3334.86
687,15,BOYACÁ,PUERTO BOYACÁ,Cultivo permanente,2003,309.0,22346.73
688,15,BOYACÁ,QUÍPAMA,Cultivo abandonado,2003,27.0,3298.69
689,15,BOYACÁ,SAN PABLO DE BORBUR,Cultivo abandonado,2003,18.99,2503.14
690,15,BOYACÁ,SANTA SOFÍA,Cultivo abandonado,2003,1.26,1693.57
691,15,BOYACÁ,TUNUNGUÁ,Cultivo abandonado,2003,0.0,1209.5
692,17,CALDAS,MANZANARES,Cultivo abandonado,2003,0.81,5505.51
693,17,CALDAS,NORCASIA,Cultivo abandonado,2003,43.0,3404.49
694,17,CALDAS,PENSILVANIA,Cultivo abandonado,2003,0.0,4621.79
695,17,CALDAS,SAMANÁ,Cultivo abandonado,2003,9.9,6934.77
696,17,CALDAS,VICTORIA,Cultivo abandonado,2003,0.0,3910.14
697,18,CAQUETÁ,ALBANIA,Cultivo permanente,2003,122.0,2883.9
698,18,CAQUETÁ,BELÉN DE LOS ANDAQUÍES,Cultivo intermintente,2003,135.0,2856.54
699,18,CAQUETÁ,CARTAGENA DEL CHAIRÁ,Cultivo permanente,2003,1990.0,7024.74
700,18,CAQUETÁ,CURILLO,Cultivo permanente,2003,202.0,4447.36
701,18,CAQUETÁ,EL DONCELLO,Cultivo permanente,2003,22.05,4397.73
702,18,CAQUETÁ,EL PAUJIL,Cultivo permanente,2003,12.35,4101.81
703,18,CAQUETÁ,FLORENCIA,Cultivo permanente,2003,69.0,57406.28
704,18,CAQUETÁ,MILÁN,Cultivo permanente,2003,321.0,4971.72
705,18,CAQUETÁ,MONTAÑITA,Cultivo permanente,2003,535.0,5062.06
706,18,CAQUETÁ,MORELIA,Cultivo intermintente,2003,0.58,1960.35
707,18,CAQUETÁ,PUERTO RICO,Cultivo permanente,2003,384.0,7415.77
